nome;data_fundacao;unidade;cidade;grau_academico;situacao;modalidade;convenio;ativo;campus_instituto_id_campus_instituto
LICENCIATURA INTEGRADA EM MATEMÁTICA E FÍSICA (MONTE ALEGRE);01-01-2010;PARFOR;Monte Alegre;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM MATEMÁTICA E FÍSICA (ALENQUER);01-01-2010;PARFOR;Alenquer;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM MATEMÁTICA E FÍSICA (JURUTI);01-01-2010;PARFOR;Juruti;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM MATEMÁTICA E FÍSICA (ORIXIMINÁ);01-01-2010;PARFOR;Oriximiná;LICENCIATURA;ATIVO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM MATEMÁTICA E FÍSICA (ITAITUBA);01-01-2010;PARFOR;Itaituba;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM MATEMÁTICA E FÍSICA (ALMEIRIM);01-01-2010;PARFOR;Almeirim;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM MATEMÁTICA E FÍSICA;01-01-2010;ICED;Santarém;LICENCIATURA;ATIVO;Presencial;;1;11
LICENCIATURA INTEGRADA EM MATEMÁTICA E FÍSICA (SANTARÉM);01-01-2010;PARFOR;Santarém;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
LICENCIATURA INTEGRADA EM MATEMÁTICA E FÍSICA (ÓBIDOS);01-01-2010;PARFOR;Óbidos;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
PEDAGOGIA (ALMEIRIM);01-01-2010;PARFOR;Almeirim;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
PEDAGOGIA;01-01-2010;ICED;Santarém;LICENCIATURA;ATIVO;Presencial;;1;11
PEDAGOGIA (MONTE ALEGRE);01-01-2010;PARFOR;Monte Alegre;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
PEDAGOGIA (ITAITUBA);01-01-2010;PARFOR;Itaituba;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
PEDAGOGIA (ÓBIDOS);01-01-2010;PARFOR;Óbidos;LICENCIATURA;ATIVO;Presencial;PARFOR;1;9
PEDAGOGIA (JURUTI);01-01-2010;PARFOR;Juruti;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
PEDAGOGIA;01-01-2010;COBI;Óbidos;LICENCIATURA;ATIVO;Presencial;;1;6
PEDAGOGIA (ORIXIMINÁ);01-01-2010;PARFOR;Oriximiná;LICENCIATURA;ATIVO;Presencial;PARFOR;1;9
PEDAGOGIA (SANTARÉM);01-01-2010;PARFOR;Santarém;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
PEDAGOGIA (ALENQUER);01-01-2010;PARFOR;Alenquer;LICENCIATURA;SUSPENSO;Presencial;PARFOR;1;9
QUÍMICA;01-01-2010;ICED;Santarém;LICENCIATURA;ATIVO;Presencial;;1;11
SAÚDE COLETIVA;01-01-2010;ISCO;Santarém;BACHARELADO;ATIVO;Presencial;;1;15
SISTEMAS DE INFORMAÇÃO;01-01-2010;CORI;Oriximiná;BACHARELADO;ATIVO;Presencial;;1;5
SISTEMAS DE INFORMAÇÃO;01-01-2010;IEG;Santarém;BACHARELADO;ATIVO;Presencial;;1;14
ZOOTECNIA;01-01-2010;IBEF;Santarém;BACHARELADO;ATIVO;Presencial;;1;10
